id,title,url,impactedStakeholders,submitterName,submitterDepartment,submitterPriority,shortDescription,longDescription,criticality,disposition,executiveSponsor,startDate,endDate,requestedDeliveryDate,tShirtSize,pillar,region,expenseType,pointOfContact,lead
1,Modernize CRM,https://dev.azure.com/example/roadmap/_workitems/edit/1,Marketing;Operations;Technology,Jane Smith,Marketing,High,CRM upgrade for Q3,Full migration from on-prem CRM to cloud,Strategic,Project,John Doe,2026-04-01,2026-09-30,2026-08-15,L,Grow our Franchise,US,CapEx,Sarah Lee,Michael Brown
2,Data Lake Refresh,https://dev.azure.com/example/roadmap/_workitems/edit/2,Technology;Compliance & Support,Alex Kim,Technology,Medium,Refresh ingestion pipelines,Upgrade ingestion jobs and improve data quality checks,Efficiency,Backlog,Pat Lee,,,,M,Insights & Analtyics,Canada,OpEx,Kyle Jones,Nina Patel
3,Network Zero Trust: Phase 1,https://dev.azure.com/example/roadmap/_workitems/edit/3,Legal;Compliance & Support;Technology,Riley Chen,Technology,High,Zero trust network rollout,Phase 1 includes MFA and segmenting core services,Non-Negotiable,Discovery,Olivia Perez,2025-07-01,2026-4-31,L,Secure & Reliable Platform,US;Canada,CapEx,Sam Green,Harper Davis
4,ERP Forecasting Add-on,https://dev.azure.com/example/roadmap/_workitems/edit/4,Accounting & Finance;Operations,Morgan Lee,Accounting & Finance,Low,Add forecasting module,Integrate vendor add-on for multi-entity forecasting,Efficiency,Project,Chris Martin,,,S,Increase Franchise Profitibility,Canada,OpEx,Jamie Fox,Quinn Rivera
5,Mobile Self-Service Portal,https://dev.azure.com/example/roadmap/_workitems/edit/5,Compliance & Support;Marketing;Operations,Jordan Blake,Compliance & Support,Medium,Launch support portal,Mobile-friendly portal for ticketing and FAQs,High Value,Avery Reed,2025-04-01,2025-09-30,M,Enable our Franchisees,US,CapEx,Taylor Singh,Casey Hughes
6,Identity Access Overhaul,https://dev.azure.com/example/roadmap/_workitems/edit/6,Technology;Compliance & Support,Drew Carter,Technology,High,Standardize IAM policies,Move to centralized IAM with least privilege controls,Non-Negotiable,Leslie Park,2025-05-15,2025-11-30,L,Secure & Reliable Platform,US,CapEx,Robin Price,Jamie Wilson
7,Supply Chain Visibility,https://dev.azure.com/example/roadmap/_workitems/edit/7,Operations;Technology;Accounting & Finance,Emery Watts,Operations,Medium,Real-time shipment tracking,Integrate carrier APIs and predictive ETAs,High Value,Skylar Brooks,2025-08-01,2026-02-28,M,Enable our Franchisees,Canada,OpEx,Pat Morgan,Avery Johnson
8,Marketing Automation Upgrade,https://dev.azure.com/example/roadmap/_workitems/edit/8,Marketing;Technology,Reese Allen,Marketing,Medium,Modernize campaign workflows,Replace legacy tooling and expand segmentation,Strategic,Rowan Hale,2025-09-01,2026-03-15,M,Grow our Franchise,US;Canada,CapEx,Blair Cooper,Logan Murphy
9,Regulatory Reporting Hub,https://dev.azure.com/example/roadmap/_workitems/edit/9,Compliance & Support;Legal;Accounting & Finance,Casey Stone,Compliance & Support,High,Automate Compliance & Support reporting,Consolidate reporting pipelines for audits,Non-Negotiable,Morgan Hart,2025-06-01,2025-12-15,L,Secure & Reliable Platform,Canada,OpEx,Jamie Fox,Harper Davis
10,Cloud Cost Optimization,https://dev.azure.com/example/roadmap/_workitems/edit/10,Accounting & Finance;Technology,Payton Reed,Accounting & Finance,Medium,Reduce cloud spend,Implement tagging and automated rightsizing,Efficiency,Alex Rivera,2025-04-15,2025-10-31,S,Increase Franchise Profitibility,US,OpEx,Quinn Rivera,Riley Chen
11,Field Service Scheduling,https://dev.azure.com/example/roadmap/_workitems/edit/11,Operations;Compliance & Support,Hayden Brooks,Operations,Low,Improve technician scheduling,Optimize routes and capacity planning,Efficiency,Jordan Miles,2026-02-01,2026-07-31,M,Enable our Franchisees,US;Canada,CapEx,Casey Hughes,Nina Patel
12,Customer Data Consent,https://dev.azure.com/example/roadmap/_workitems/edit/12,Legal;Compliance & Support;Marketing,Alexis Ward,Legal,High,Centralize consent records,Implement consent ledger with audit trails,Non-Negotiable,Charlie Nguyen,2025-03-01,2025-08-31,M,Secure & Reliable Platform,Canada,OpEx,Sam Green,Jordan Blake
13,Warehouse Robotics Pilot,https://dev.azure.com/example/roadmap/_workitems/edit/13,Operations;Technology;Accounting & Finance,Taylor Nguyen,Operations,Medium,Automate pick-and-pack,Deploy pilot robotics in main DC,High Value,Kai Morgan,2025-11-01,2026-05-31,L,Innovation,US,CapEx,Pat Morgan,Quinn Rivera
14,API Gateway Consolidation,https://dev.azure.com/example/roadmap/_workitems/edit/14,Technology,Jamie Rivers,Technology,High,Unify API gateways,Retire legacy gateways and standardize policies,Strategic,Harper Cole,2025-07-15,2026-01-31,M,Secure & Reliable Platform,US;Canada,CapEx,Robin Price,Alex Kim
15,HR Onboarding Revamp,https://dev.azure.com/example/roadmap/_workitems/edit/15,Operations;Compliance & Support;HR,Morgan Avery,Operations,Low,Streamline onboarding,Digitize forms and integrate provisioning,Efficiency,Parker Lane,2025-05-01,2025-09-30,S,Enable our Franchisees,Canada,OpEx,Casey Hughes,Leslie Park
16,Enterprise Data Catalog,https://dev.azure.com/example/roadmap/_workitems/edit/16,Technology;Compliance & Support;Operations,Kendall Hayes,Technology,Medium,Publish governed data catalog,Expand metadata coverage and stewardship workflows,Strategic,Rowan Hale,2026-08-01,2027-02-28,M,Insights & Analtyics,US;Canada,OpEx,Alex Kim,Jordan Blake
17,Sustainability Reporting,https://dev.azure.com/example/roadmap/_workitems/edit/17,Compliance & Support;Accounting & Finance;Legal,Charlie Owens,Compliance & Support,High,Automate ESG reporting,Consolidate emissions data and audit trails,Non-Negotiable,Casey Stone,2026-10-01,2027-06-30,L,Increase Franchise Profitibility,Canada,OpEx,Jamie Fox,Riley Chen
18,Contact Center AI,https://dev.azure.com/example/roadmap/_workitems/edit/18,Compliance & Support;Technology;Marketing;Operations,Finley Brooks,Compliance & Support,Medium,AI-assisted responses,Deploy agent assist and knowledge recommendations,High Value,Jordan Miles,2026-05-01,2026-12-31,M,Grow our Franchise,US,CapEx,Casey Hughes,Blair Cooper
19,Secure Dev Workflows,https://dev.azure.com/example/roadmap/_workitems/edit/19,Compliance & Support;Technology,Quinn Barrett,Technology,High,Secure SDLC standards,Add SAST/DAST gates and secrets scanning,Non-Negotiable,Olivia Perez,2026-09-15,2027-03-31,M,Secure & Reliable Platform,US;Canada,OpEx,Sam Green,Jamie Rivers
